INVOICE_ID,REQUISITION_NUMBER
14312,233
14327,234
14477,42
14345,253
14324,254
14346,253
14358,260
14365,260
14367,260
14467,276
15945,303
14449,284
15971,290
15954,293
15988,334
23401,321
14582,336
23370,348
10401,172
12145,172
7908,175
16113,23
14479,33
9368,212
12166,213
12158,213
23410,210
12146,211
14471,236
14369,262
14374,262
14377,264
14383,264
14385,265
14403,267
14404,267
14407,267
14409,267
14335,268
14414,269
14419,269
14340,269
14420,271
14427,271
1902259,18250
4225,2
4015,8
4010,13
2030,17
4228,22
4229,23
4222,29
4271,53
4273,57
4281,62
7010,65
4276,43
4218,46
4018,48
7045,71
7008,76
7042,85
6492,99
7019,104
7024,102
7920,110
7022,114
9223,116
7035,128
7023,122
9233,8
7897,146
14323,167
29429,662
29427,662
29418,669
31013,674
35056,687
35060,687
35051,131
35057,703
42014,715
42025,718
42024,735
42039,726
42054,737
42063,737
42186,840
44784,841
44754,819
44757,822
44779,846
47490,850
46214,199
46216,874
48024,890
47504,858
47505,859
46222,879
23409,498
20610,502
23377,507
23369,507
23372,511
22177,514
23396,512
24014,523
24016,523
23423,538
24059,540
24061,540
24076,546
24080,546
24085,571
24088,571
17408,397
19373,76
23399,422
18024,71
18022,71
19360,414
19370,422
19398,428
19362,430
19366,433
21143,443
21265,445
21159,446
21162,446
21173,447
21181,449
21189,449
21195,449
21199,449
21204,449
21208,449
21210,449
21219,451
21235,451
21236,451
21242,451
21244,451
21254,451
21260,451
21269,451
21271,453
21277,455
21279,460
21304,469
21306,469
21314,470
21340,471
21341,471
23393,97
21288,473
21371,479
23425,483
21369,492
22166,494
43021,150
43015,755
42118,760
44731,765
42090,156
43025,158
42083,161
42125,784
42126,791
44334,798
44746,811
44762,4
44740,835
44741,836
27046,596
27124,599
27125,602
42030,613
30184,617
30185,619
42031,628
30050,118
27054,637
30192,643
44727,653
16060,341
16065,342
16072,342
16074,342
16076,342
17319,345
17323,345
17324,345
17322,345
17331,346
17341,347
16112,55
14740,358
14741,359
16115,67
17367,374
17374,374
17387,375
17393,375
17397,377
17427,379
17411,380
23387,383
19358,389
17416,393
17422,395
73146,275
73129,1305
68555,1313
69084,1312
69202,1311
73114,1319
68569,1322
69097,1334
72026,1335
73113,1345
74549,1346
72030,1361
73228,1362
72034,1373
73227,1375
62254,1201
63072,1220
65114,1223
65116,1252
67218,1266
67212,1267
67172,1271
73136,1279
67217,1285
78172,1517
76857,1527
82327,1535
76852,1564
82352,1587
82348,1596
82339,1600
82343,328
82342,329
82335,1602
82328,1603
82315,1578
83157,1613
53031,1014
54027,1008
54715,1027
54710,1038
63029,1055
63032,1072
59041,1093
61026,238
59055,1107
59035,1102
66494,1110
61028,240
61029,241
61271,1129
62084,1141
62247,1169
62246,1170
62085,1186
68144,1193
48042,206
51018,943
52029,214
51048,215
51052,971
56027,969
56029,978
74471,1401
74474,1404
74475,1407
74576,1411
74492,1414
74550,1432
74496,1433
74546,1438
73649,1455
78156,1463
76156,1459
76165,1481
77154,1484
79192,1522
78182,1503
78160,1513
78167,1515
83162,1626
84255,1637
84254,1638
84251,1642
84258,339
88174,1665
88181,1666
88172,1671
88182,1678
88183,1670
128198,2350
128408,2355
128422,2366
130174,2384
128416,2368
128418,2372
136247,2418
136181,2425
136164,2431
153206,2435
134524,2436
133352,2398
139190,458
144161,2407
118184,2204
119427,2217
123154,2244
124193,2270
121429,2234
121168,2235
121175,2255
123155,2260
121243,2263
124205,2278
128177,2281
128163,2297
128181,2311
128176,2317
128210,447
128178,2330
128193,2338
110198,2110
110197,2111
110195,2112
113161,2115
113185,422
113187,424
113177,2135
113169,2163
113180,2156
117161,2166
117156,2177
115471,2168
115467,2179
118178,2182
115463,2198
118186,431
115473,2202
118217,2208
119423,2209
115469,2187
115536,2197
103519,1992
103522,1995
103546,2001
104155,2011
105418,2020
106377,410
106404,2051
107154,2054
107155,2054
110156,2073
110182,2074
110202,2087
110200,2089
110161,2093
110159,2095
91170,1684
91167,1706
91175,1713
91183,1729
96262,1743
96227,1746
92157,1747
101255,1752
96234,1762
96233,1763
96230,1766
96249,1789
96250,1789
97154,1819
100159,1836
100520,1852
100521,1863
100523,1868
103539,379
101278,1908
102601,1909
101262,1914
103497,1927
103510,1929
101246,1931
101291,1951
103514,1955
103516,1969
105422,1981
201163,2844
201169,522
200171,2835
196158,2837
208158,2857
218327,526
218299,2874
212175,2875
212159,2889
218293,2907
218311,2934
218315,2923
218318,2937
218319,2939
218320,2940
219171,15
