INVOICE_ID,TAX_RATE,TAX_AMT,TIPO_LINEA,CODIGO_IMPUESTO
1841430,16,518.4,TAX,"AP IVA ACRED"
1841431,16,720,TAX,"AP IVA ACRED"
1841432,16,672,TAX,"AP IVA ACRED"
1841433,16,185.76,TAX,"AP IVA ACRED"
1841434,16,604.8,TAX,"AP IVA ACRED"
1841435,16,699.84,TAX,"AP IVA ACRED"
1841551,16,1296,TAX,"AP IVA ACRED"
1841552,16,127.36,TAX,"AP IVA ACRED"
1841553,16,518.4,TAX,"AP IVA ACRED"
1841554,16,1120,TAX,"AP IVA ACRED"
1841555,16,164.16,TAX,"AP IVA ACRED"
1841556,16,400,TAX,"AP IVA ACRED"
1849114,4,-57.24,AWT,"FOR RET IVA FLETES"
1850968,4,-57.24,AWT,"FOR RET IVA FLETES"
1849116,4,-57.24,AWT,"FOR RET IVA FLETES"
1850971,4,-57.24,AWT,"FOR RET IVA FLETES"
1850974,4,-57.24,AWT,"FOR RET IVA FLETES"
1849127,4,-92.88,AWT,"FOR RET IVA FLETES"
1849135,4,-109.2,AWT,"FOR RET IVA FLETES"
1849133,4,-109.2,AWT,"FOR RET IVA FLETES"
1849112,4,-109.2,AWT,"FOR RET IVA FLETES"
1850972,4,-662.04,AWT,"FOR RET IVA FLETES"
1849132,4,-253.08,AWT,"FOR RET IVA FLETES"
1849099,4,-680,AWT,"FOR RET IVA FLETES"
1849236,16,1012.32,TAX,"AP IVA ACRED"
1849237,16,1012.32,TAX,"AP IVA ACRED"
1849238,16,1012.32,TAX,"AP IVA ACRED"
1849239,16,371.52,TAX,"AP IVA ACRED"
1849240,16,604.8,TAX,"AP IVA ACRED"
1849241,16,604.8,TAX,"AP IVA ACRED"
1849242,16,720,TAX,"AP IVA ACRED"
1849323,16,448,TAX,"AP IVA ACRED"
1849324,16,415.52,TAX,"AP IVA ACRED"
1849325,16,415.52,TAX,"AP IVA ACRED"
1849326,16,768,TAX,"AP IVA ACRED"
1849327,16,688,TAX,"AP IVA ACRED"
1849328,16,496,TAX,"AP IVA ACRED"
1849329,16,496,TAX,"AP IVA ACRED"
1847201,4,-192,AWT,"FOR RET IVA FLETES"
1848199,4,-203.04,AWT,"FOR RET IVA FLETES"
1848191,4,-151.2,AWT,"FOR RET IVA FLETES"
1848191,1.25,-47.25,AWT,"FOR RET ISR 1.25%"
1848134,4,-14,AWT,"FOR RET IVA FLETES"
1848134,1.251429,-4.38,AWT,"FOR RET ISR 1.25%"
1848140,4,-29.36,AWT,"FOR RET IVA FLETES"
1848201,4,-84,AWT,"FOR RET IVA FLETES"
300000039116847,16,305.04,TAX,"AP IVA ACRED"
300000039132629,16,192,TAX,"AP IVA ACRED"
1849978,4,-41.04,AWT,"FOR RET IVA FLETES"
1835336,16,228.96,TAX,"AP IVA ACRED"
1835337,16,228.96,TAX,"AP IVA ACRED"
1835338,16,980.32,TAX,"AP IVA ACRED"
1835339,16,228.96,TAX,"AP IVA ACRED"
1835340,16,518.4,TAX,"AP IVA ACRED"
1835341,16,980.32,TAX,"AP IVA ACRED"
1852000,16,415.52,TAX,"AP IVA ACRED"
1852001,16,415.52,TAX,"AP IVA ACRED"
1852002,16,415.52,TAX,"AP IVA ACRED"
1852003,16,415.52,TAX,"AP IVA ACRED"
1852004,16,590.88,TAX,"AP IVA ACRED"
1848136,16,705.6,TAX,"AP IVA ACRED"
1848137,16,26384,TAX,"AP IVA ACRED"
1848138,16,45645.6,TAX,"AP IVA ACRED"
1848139,16,127.36,TAX,"AP IVA ACRED"
1848140,16,117.44,TAX,"AP IVA ACRED"
1848232,16,352.8,TAX,"AP IVA ACRED"
1848233,16,63.68,TAX,"AP IVA ACRED"
1848234,16,509.44,TAX,"AP IVA ACRED"
1848235,16,509.44,TAX,"AP IVA ACRED"
1848236,16,191.04,TAX,"AP IVA ACRED"
1848237,16,509.44,TAX,"AP IVA ACRED"
1852097,0,0,TAX,"AP EXENTO"
1852098,0,0,TAX,"AP EXENTO"
1852099,0,0,TAX,"AP EXENTO"
1852100,0,0,TAX,"AP EXENTO"
1852101,0,0,TAX,"AP EXENTO"
1852102,0,0,TAX,"AP EXENTO"
1852140,16,736.8,TAX,"AP IVA ACRED"
1852141,16,1296,TAX,"AP IVA ACRED"
1852142,16,371.52,TAX,"AP IVA ACRED"
1852143,16,371.52,TAX,"AP IVA ACRED"
1852144,16,416,TAX,"AP IVA ACRED"
1852145,16,590.88,TAX,"AP IVA ACRED"
1849312,16,349.28,TAX,"AP IVA ACRED"
1849313,16,349.28,TAX,"AP IVA ACRED"
1849314,16,436.8,TAX,"AP IVA ACRED"
1849315,16,436.8,TAX,"AP IVA ACRED"
1849316,16,302.4,TAX,"AP IVA ACRED"
1849317,16,302.4,TAX,"AP IVA ACRED"
1837183,16,1296,TAX,"AP IVA ACRED"
1837184,16,1296,TAX,"AP IVA ACRED"
1837185,16,518.4,TAX,"AP IVA ACRED"
1837186,16,318.4,TAX,"AP IVA ACRED"
1837187,16,153.6,TAX,"AP IVA ACRED"
